	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	Prevotella_copri_clade_C	GGB1680_SGB2312	Bacteroides_ilei	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Prevotella_SGB48271	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	Lactobacillus_acidophilus	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143	GGB28645_SGB41268
CSM5FZ3N_P	0.426522636	0.060255109	0.269241131	0	0	0.000161133	0	0.008486469	0	0	0.026011685	0	0	0.044517661	0.057164936	0	0	0	0	0	0	0	0	0.012399371	0	0	0	0	0	0	0	0	0	0.004853223	0	0	0.004271883	0.002054392	0	0	0.006653919	0	0	0	0	0	0.000544625	0	0	0	0	0	0.006518952	0.002388862	0	0	0	0.005889934	0	0.000134243	0	0	0	0	0	0	0	0.001650526	0	0.002441608	0	0	0	0	0	0	0	0	0	0	0.010058911	0.010769323	0	0	0	0.003812168	0.003740392	0	0	0	0	0.014729592	0.00013476	0	0	0	0	8.5841E-06	0	0.001623222	0	0	0	0	0	0.000147274	0.000503152	0	0	0	0	0	0.003617836	0	0	2.43044E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003844126	0	0	0.004824057	0	0	0	0
CSM5FZ3R_P	0.536958442	0.007396904	0.252604847	0	0.008390958	2.95357E-05	0.000300175	0.00581329	5.01687E-05	0.000691575	0.013646945	0.000436332	3.01641E-05	0.005491121	0.076260257	0	0	4.50367E-06	0.000228849	0	0	0	9.53101E-06	0.01959901	5.75003E-05	3.55056E-05	7.05923E-05	0	0.000272419	0	0	0	0	0.011390713	0	0	0.0017823	0.004448365	0.000171663	0	0.001044327	0	0	0	0	0	0.003691225	0	0.00036354	0	0	0	0.008658664	0.000149983	0	0	0	0.003545432	0	0.000344792	0	0	0	0	0	0	0	0.00261642	0	0.000870988	0	0	0	0	0	0.000540964	0	0	0	0	0.001723752	0.004591749	0	0	0.000478331	0.004745607	0.001017933	0	0	0	0	0.00913113	0.001030606	0	0	0	0	0	0	0.000395485	0	0	0	0.000247492	0	0	0.002045712	0	0	0	0	0	0.003928977	0	0	4.08472E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818725	0	0	0.001805656	0	0	0	0
CSM5FZ3T_P	0.591182064	0	0	0	0	0.003196684	0	0.102828018	0.000498426	0	0	0	0.085289761	0.001732136	0.136325832	0	0	0	0	0	0	0	0	0.02351261	6.95896E-05	0	0	0	0	0	0	0	0	0.003783919	0	0	0.024959102	0	0	0	0	0	0	0	0	0	0.000126402	0	0	0	0	0	0	0	0	0	0	0	0	7.98326E-05	0	0	0	0	0	0	0	0	0	0.00031479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000446788	0.025570835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32118E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5FZ3V_P	0.266137835	0.029680329	0.400426526	0	0	0.007980821	0.001754038	0.09613767	0	0.00080361	0.028044152	6.32981E-05	0	0.012820789	0.101322487	0	0	1.83074E-05	0	0.0089273	0.000383498	0	0	0.021405514	4.33155E-05	0	0	0	0	0	0	1.86663E-05	0	0.001911147	0	1.28032E-05	0.001073913	0.000975556	0.000203296	0	0.000569204	0	0	0	0	0	0.003756602	0	0.000646502	0	0	0	0.001102391	0.000120613	0	0	0	0.000760654	0	0.000359566	0	0	0	0	0.000585956	0	0	0.001049144	0	0.000430642	0	0	0	0	0	0.000291961	0	0	0	0	0.000213347	0.002838601	0	0	0	0.002124972	0.000716261	0	0	0	0	0.001194287	1.51963E-05	0	0	0	0	0	0	0.000492265	0	0	0	0.00014275	0	0	0.000311824	0	0	0	0	0	0.000531991	0	0	3.7931E-05	0	0	0	0	0	0	0	0	2.87175E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130186	0.001403566	0	0	0	0
CSM5FZ3X_P	0.66010385	0.00359674	0.000880428	1.3081E-05	0.001335669	0.00251934	0	0.172872818	0.003701064	0.000498917	0	0.000167567	0.04794875	0.000991239	0.05192311	0.000216107	0	3.1135E-05	0.001037401	0	0.011174651	0	0	7.4378E-05	0.002071017	0	0.000107891	0.000999779	0	0	0	0	0	0.00166983	0	0	0.020837417	0	0	0	0	0	0	0	0	0	0.007261912	0	0.000106162	0	0	0	0	0	0	0	0.002699447	0	0	0.000140216	0	0	0	0	0	0	0	0	0	0.00074097	0	0	0	0	0	0.00040962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003410363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21078E-05	0	0	0	0	0	0	0	0	0	9.83779E-06	0	1.64324E-05	0	0	1.31891E-05	0	0	0	0	0	0	0	0	0	0	0	0.000347566	0	0	0	0	0	0	0	0
CSM5FZ3Z_P	0.43014665	0	0.003967713	0	0	2.85157E-05	0	0.245046291	0.002534852	0	1.45844E-05	0	0.079810072	0.000350025	0.124481806	0	0	0	0	0.000240969	0.005022577	0	0	0.028390778	0.000112539	0	0	0	0	0	0	0	0	0.011759907	0	0	0.041523249	0	0	0	0	0.000235309	0	0	0	1.52374E-06	0.000202984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000223119	0	0	0	0	0	0.00151634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023933836	0	0	0	0	0	6.53032E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99569E-05	0.00014617	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03361E-05	0	0	0	0	0	0	0	0	0	0	0	0.000163367	0	0	0	0	0	0	0	0
CSM5FZ42_P	0.655623524	0.000130307	5.73213E-05	0	2.83769E-06	2.67878E-05	1.16913E-05	0.065070661	0.010650066	0.000163451	1.88422E-05	0	0.053505837	0.002739276	0.048868262	0	0	0	0	0	0	0	0	0.019930665	3.8025E-05	0	0.000486607	0	0	5.48241E-05	0	0	0	0.015880718	0	0	0.072215957	0	0	0	0	2.82634E-05	0	0	0	0	0.004122592	0	0	0	0	0	0	0	0	4.99433E-05	0	0	0	0.000701703	0	0	0	0	0	0	0	0	0	0.002552443	0	0	6.25426E-05	0	0	0.001485926	0	0	0	0	0	0	0	0	7.5596E-05	0	0	0	0	0	0	0.042809687	0	0	0	0	0	0.000474915	0	5.67537E-06	0	7.03746E-05	0	0	0	0	0	0	0	0	0	0	0	0.000238706	0	0.000108173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001114303	0	0	0	0	8.05903E-06	0	0	0	0	0	0	0.000615438	0	0	0	0	0	0	0	0
CSM5FZ44_P	0.549719192	0.007664175	0.001355608	0	0	8.33321E-06	0	0.098613289	0.024109932	0	0	0	0.131076779	0.0027847	0.123316935	0	0	0	0	0	0	0	0.00014318	0.016490886	5.48693E-05	0	0	0	0	0	0	0	0	0.002698987	0	0	0.028355	0	0	0.000108548	0.000160712	0	0	0	0	0	0.001771511	0	0	0	0	0	0	4.65361E-05	0	0	0	0	0	7.85703E-05	0	0.000321857	0	0	0	0	0	0	0	0.001157559	0	0	0	0	0	0.000100864	0	0	0	0	0	0	0	0	0	4.8917E-05	0	0	0	0	0	0.009432764	0	0	0	0	0	3.36575E-05	0	0	0	0	0	0	0	1.06059E-05	0	0	0	0	0	0	0	0	0	3.88523E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204001	0	0	0	0	0	0	0	0	0	0	0	9.31805E-05	0	0	0	0	0	0	0	0
CSM5FZ46_P	0.557247181	4.0214E-05	3.82991E-06	0	0	2.3405E-06	0	0.194727961	0.001967722	0	0	0	0.071989083	0.001019288	0.139584304	0	0	0	0	0	0.003313722	0	0	0.004617486	6.63851E-05	0	0	0	0	0	0	0	0	0.000711831	0	0	0.018681122	0	0	0	0	0	0	0	0	0	9.70243E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00491473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76611E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000396396	0	0	0	0	0	0	0	0
CSM5FZ4A_P	0.300432111	0.014024711	0.240043403	0	0.241827688	2.83236E-05	0.048550961	0	0.003750809	0	0.026209195	0.018131026	0.000110976	0	3.89071E-05	0	0	0	0.013098096	0.000729458	0	0.000182239	0	0	0.017468295	0.000198668	0.000704259	0.002867234	0	0	0.009374906	0.012113524	0	0.008569246	0.001868853	0	0.000652652	0.012680701	0	0	0	0	0	0	0	0.007443358	0.00044713	0	0.001001405	0	0	0	0.000116923	0	0	0	0	0	0	0.000128716	0	0	0	0.004098151	0	0	0	0	0	0.00021661	0	0	0	0	0	0	0	0	0	0	0	0.000692567	0	0	7.31777E-05	0.002294815	0.001188986	0.002146646	0	0	0	0	0.000330005	0	0	0	0	0	0	0	0	0	0.002892836	0.00038504	0	0	0.000928328	0	0	0	0	0	0.001071256	0	0	2.58037E-05	0	0	0	0	0	0	0	0	0	0.000252997	0	0	0	0	8.73899E-05	0	0	0	0	0.00047505	0	0	0	0	4.65676E-05	0	0	0	0	0	0	0	0	0	0
