	Metadata_1	Metadata_2	Metadata_3	Metadata_4	Metadata_5	ID
Sample1	1	1	-0.410114529	0.635246801	0	Subject1
Sample2	0	1	-1.351059177	0.236236908	0	Subject2
Sample3	1	1	-0.487982149	-0.545851432	0	Subject3
Sample4	0	0	-0.072684572	-0.99034276	1	Subject4
Sample5	1	0	0.272011976	1.133322263	1	Subject5
Sample6	1	1	-0.369574703	0.769129619	0	Subject6
Sample7	0	1	-0.583917376	1.021987986	1	Subject7
Sample8	1	0	0.324886048	0.216661803	0	Subject8
Sample9	1	1	1.272886601	-0.278884999	1	Subject9
Sample10	0	1	0.777832757	0.500044459	1	Subject10
Sample11	0	1	0.769432055	2.518714959	1	Subject11
Sample12	0	0	-0.031360062	-1.053828029	0	Subject12
Sample13	0	1	-0.422142581	1.049211879	1	Subject13
Sample14	0	1	1.313627265	-1.447172884	1	Subject14
Sample15	0	0	0.049086132	0.55725532	1	Subject15
Sample16	1	1	1.044804974	-1.380326199	1	Subject16
Sample17	0	0	0.259750705	-1.5244742	1	Subject17
Sample18	1	0	-0.153428954	1.546671462	0	Subject18
Sample19	1	1	-0.970556441	1.212205365	1	Subject19
Sample20	0	1	0.23701421	-0.002542179	0	Subject20
Sample21	1	1	0.957444302	0.831970188	0	Subject21
Sample22	1	1	0.470548388	0.492603297	0	Subject22
Sample23	1	1	-1.075401568	0.557402025	0	Subject23
Sample24	1	0	2.440226918	-0.096059782	0	Subject24
Sample25	1	0	-0.722797493	0.971646472	0	Subject25
Sample26	1	0	-0.666351395	-0.582803662	1	Subject26
Sample27	0	1	-0.59619114	-1.128926316	0	Subject27
Sample28	1	1	0.431455918	-0.049985966	1	Subject28
Sample29	0	1	-0.146032896	0.436411717	0	Subject29
Sample30	1	1	0.434073316	1.545272591	1	Subject30
Sample31	0	0	-0.384031977	0.398664155	0	Subject31
Sample32	0	0	-0.037206742	0.921057575	1	Subject32
Sample33	1	1	0.108751633	1.032169888	0	Subject33
Sample34	0	1	0.074576772	0.57466525	0	Subject34
Sample35	1	0	0.194851203	-0.616060789	1	Subject35
Sample36	1	0	-0.581250316	0.295125171	0	Subject36
Sample37	0	1	-0.832351071	0.236753695	1	Subject37
Sample38	1	0	-1.008298331	0.730729915	0	Subject38
Sample39	1	1	-1.026529711	0.329643361	1	Subject39
Sample40	0	1	-0.249246499	1.860067368	0	Subject40
Sample41	0	0	-0.947003264	-0.956802659	1	Subject41
Sample42	0	0	-0.580470327	0.703216939	1	Subject42
Sample43	1	1	-0.256882617	1.136719098	1	Subject43
Sample44	0	1	-0.138524577	0.850658211	1	Subject44
Sample45	0	0	0.118335563	0.813050898	0	Subject45
Sample46	0	1	-0.360626142	0.702115351	1	Subject46
Sample47	0	0	0.952714244	0.438005558	1	Subject47
Sample48	0	0	0.633760732	0.638843915	0	Subject48
Sample49	0	1	-1.304216614	1.568284412	1	Subject49
Sample50	0	0	-0.293402329	1.067999576	1	Subject50
Sample51	1	0	0.303262254	0.476198484	0	Subject51
Sample52	1	1	0.029594184	-0.252565044	0	Subject52
Sample53	1	0	-1.033161047	-0.4809775	1	Subject53
Sample54	1	1	0.415754222	-0.453196072	1	Subject54
Sample55	0	1	1.044573037	-0.927870828	1	Subject55
Sample56	1	1	2.362181224	0.552736667	0	Subject56
Sample57	1	0	-1.314514011	1.030418891	0	Subject57
Sample58	0	0	0.118760755	-0.286243789	0	Subject58
Sample59	0	1	-0.414468894	1.411330656	1	Subject59
Sample60	1	1	1.346637463	-0.895976968	0	Subject60
Sample61	0	1	0.940459536	0.190108915	0	Subject61
